 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1771,692.36,702.78,703.39,673.42,670.53,703.00,712.22,691.05,723.53,756.03,747.18,766.90,703.05,680.56,673.94,687.33,693.30,678.05,693.30,678.36,682.99,684.28,692.36
1772,691.58,703.35,703.16,673.36,670.46,701.74,712.28,689.07,722.96,753.33,745.16,764.57,700.29,681.45,675.28,686.65,691.42,678.64,692.96,678.70,683.73,683.61,691.58
1773,691.70,702.81,702.87,673.95,669.98,699.94,712.56,686.90,723.17,751.95,743.67,761.96,700.26,683.97,675.31,687.04,690.56,679.22,692.85,678.42,683.95,683.02,691.70
1774,692.48,701.72,702.11,675.11,668.41,699.06,711.51,686.80,723.04,750.65,743.35,759.47,702.65,685.22,673.97,688.71,691.79,678.39,692.68,678.11,682.51,682.80,692.48
1775,691.54,701.53,700.92,674.72,666.61,699.20,709.17,687.05,721.64,749.17,743.53,757.41,702.98,685.30,673.56,689.52,693.57,677.33,691.73,678.50,681.88,682.87,691.54
1776,690.00,701.86,699.74,672.93,666.25,699.30,706.94,687.07,720.49,748.64,741.65,756.03,701.24,685.60,675.03,689.24,694.30,677.57,691.22,679.55,681.91,683.17,690.00
1777,689.39,701.82,699.41,671.48,666.72,699.00,706.63,687.85,720.42,748.32,738.95,755.29,699.88,685.70,675.97,687.94,694.54,677.92,692.18,680.84,682.02,682.32,689.39
1778,689.55,701.11,698.75,671.03,666.45,698.25,706.72,689.60,720.07,745.93,736.98,755.10,698.15,685.61,675.18,685.58,694.24,677.28,693.66,681.43,681.55,681.51,689.55
1779,690.33,698.98,698.08,671.34,666.97,697.00,706.15,691.83,718.81,744.07,735.74,754.69,697.09,686.06,674.13,685.00,694.38,676.51,694.44,679.95,680.91,682.12,690.33
1780,691.80,697.96,698.09,671.09,667.69,696.68,705.30,694.21,719.26,745.61,734.77,753.41,698.97,686.04,674.77,685.53,696.22,676.62,693.92,679.11,680.48,682.77,691.80
1781,693.30,698.31,698.96,669.66,665.70,696.74,703.72,695.62,722.12,747.67,733.60,751.67,701.98,685.38,675.96,684.45,698.99,677.22,692.89,679.61,680.82,683.23,693.30
1782,694.08,697.98,699.16,668.61,661.67,696.68,701.85,697.88,724.62,746.43,732.14,749.58,703.37,684.38,676.94,684.00,701.04,677.21,693.06,679.64,681.54,684.36,694.08
1783,693.32,698.28,698.66,668.72,658.31,695.97,700.39,699.85,725.02,742.93,730.80,747.69,703.25,683.99,677.91,684.93,701.63,677.14,693.78,678.63,681.56,684.35,693.32
1784,692.57,699.34,698.79,669.40,657.93,695.92,699.97,698.97,724.05,739.29,730.32,746.61,702.73,685.31,677.52,685.23,700.12,675.38,693.75,677.96,681.12,683.60,692.57
1785,693.76,699.10,698.17,669.84,660.13,697.05,699.87,698.43,723.19,737.53,729.54,745.59,702.27,686.78,675.35,683.46,697.51,672.43,693.62,678.06,680.54,683.34,693.76
1786,695.37,697.79,696.11,669.06,662.65,697.11,699.52,699.79,722.73,736.31,728.10,743.78,702.34,686.26,674.54,680.26,697.10,671.53,692.64,677.34,680.61,683.64,695.37
1787,695.30,696.41,694.90,668.40,663.54,696.18,699.93,700.58,721.79,735.13,727.07,742.48,703.88,685.70,674.55,679.56,698.00,672.18,690.41,676.14,681.36,684.38,695.30
