 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
214,434.883,434.677,433.735,440.131,439.310,436.927,439.366
215,434.814,434.848,433.741,440.296,438.924,436.829,438.943
216,434.776,434.772,434.085,440.508,438.650,436.497,438.581
217,434.534,434.483,434.640,440.661,438.726,436.299,438.473
218,434.346,434.331,434.895,440.616,439.029,436.370,438.618
219,434.438,434.386,434.544,440.345,439.358,436.548,438.744
220,434.751,434.523,433.860,440.127,439.661,436.466,438.666
221,434.938,434.535,433.353,440.103,439.921,436.275,438.366
222,434.876,434.582,433.266,440.186,440.089,436.217,438.063
223,434.719,434.792,433.511,440.185,440.038,436.190,437.980
224,434.655,435.058,433.817,440.153,439.756,435.997,437.947
225,434.620,435.242,434.163,440.260,439.274,435.809,437.838
226,434.629,435.394,434.410,440.462,438.914,435.852,437.749
227,434.803,435.430,434.409,440.687,439.017,436.032,437.897
228,435.139,435.328,434.047,440.829,439.571,436.076,438.252
229,435.384,435.100,433.659,440.736,440.270,435.909,438.608
230,435.290,434.862,433.626,440.365,440.784,435.649,438.860
231,434.963,434.574,434.012,439.851,441.053,435.491,438.942
232,434.620,434.300,434.445,439.620,441.152,435.438,438.824
233,434.445,434.168,434.595,439.906,441.031,435.499,438.533
234,434.545,434.279,434.452,440.550,440.872,435.568,438.244
235,434.950,434.604,434.237,441.039,440.707,435.503,438.031
236,435.587,434.788,434.072,440.998,440.629,435.349,437.905
237,436.105,434.792,434.047,440.582,440.525,435.265,437.975
238,436.222,434.832,434.035,440.098,440.281,435.280,438.205
239,435.857,435.130,433.953,439.858,439.935,435.316,438.507
240,435.250,435.496,433.967,439.828,439.701,435.264,438.721
241,434.885,435.705,434.163,440.074,439.566,435.068,438.688
242,434.879,435.642,434.379,440.463,439.539,434.794,438.416
243,434.979,435.476,434.508,440.957,439.412,434.762,438.092
244,434.720,435.236,434.610,441.474,439.093,435.135,437.934
245,434.304,434.806,434.760,441.718,438.728,435.656,438.005
246,434.128,434.310,434.843,441.639,438.643,435.851,438.113
247,434.393,434.086,434.763,441.209,438.828,435.618,438.105
248,434.963,434.356,434.620,440.541,439.146,435.273,437.888
249,435.412,434.841,434.615,439.964,439.499,435.129,437.688
